number,value,datetime_start,datetime_complete,duration,params_activation_0,params_activation_1,params_activation_2,params_batch_size,params_layer_size_0,params_layer_size_1,params_layer_size_2,params_num_layers,params_optimizer,state
0,0.8540833333333333,2024-10-26 11:23:19.844195,2024-10-26 11:29:54.026546,0 days 00:06:34.182351,relu,tanh,,64,512,256.0,,2,SGD,COMPLETE
1,0.8836666666666667,2024-10-26 11:23:19.944459,2024-10-26 11:29:47.438901,0 days 00:06:27.494442,leaky_relu,gelu,,128,64,64.0,,2,Adam,COMPLETE
2,0.8834166666666666,2024-10-26 11:23:20.061123,2024-10-26 11:29:51.774194,0 days 00:06:31.713071,silu,relu,silu,128,128,64.0,128.0,3,RMSprop,COMPLETE
3,0.7411666666666666,2024-10-26 11:23:20.061123,2024-10-26 11:29:57.258470,0 days 00:06:37.197347,sigmoid,relu,sigmoid,64,64,256.0,32.0,3,SGD,COMPLETE
4,0.88825,2024-10-26 11:29:47.454532,2024-10-26 11:36:15.726716,0 days 00:06:28.272184,gelu,,,64,128,,,1,RMSprop,COMPLETE
5,0.879,2024-10-26 11:29:51.796562,2024-10-26 11:36:21.061551,0 days 00:06:29.264989,leaky_relu,gelu,,64,32,128.0,,2,Adam,PRUNED
6,0.8790833333333333,2024-10-26 11:29:54.042176,2024-10-26 11:36:25.736254,0 days 00:06:31.694078,tanh,leaky_relu,,64,32,256.0,,2,Adam,PRUNED
7,0.8824166666666666,2024-10-26 11:29:57.277465,2024-10-26 11:36:23.349945,0 days 00:06:26.072480,silu,silu,,128,512,16.0,,2,RMSprop,PRUNED
8,0.8665,2024-10-26 11:36:15.742340,2024-10-26 11:38:12.877196,0 days 00:01:57.134856,silu,,,64,64,,,1,RMSprop,PRUNED
9,0.8596666666666667,2024-10-26 11:36:21.075605,2024-10-26 11:37:39.820703,0 days 00:01:18.745098,relu,silu,,128,32,256.0,,2,Adam,PRUNED
10,0.8575,2024-10-26 11:36:23.365570,2024-10-26 11:37:47.450337,0 days 00:01:24.084767,tanh,gelu,relu,32,32,256.0,32.0,3,RMSprop,PRUNED
11,0.8850833333333333,2024-10-26 11:36:25.751876,2024-10-26 11:42:22.960731,0 days 00:05:57.208855,leaky_relu,tanh,,128,256,256.0,,2,RMSprop,COMPLETE
12,0.8606666666666667,2024-10-26 11:37:39.820703,2024-10-26 11:39:02.666116,0 days 00:01:22.845413,gelu,gelu,tanh,32,32,256.0,128.0,3,Adam,PRUNED
13,0.8919166666666667,2024-10-26 11:37:47.465962,2024-10-26 11:43:34.801116,0 days 00:05:47.335154,gelu,,,32,128,,,1,RMSprop,COMPLETE
14,0.8345833333333333,2024-10-26 11:38:12.895779,2024-10-26 11:38:52.619550,0 days 00:00:39.723771,gelu,,,32,16,,,1,Adam,PRUNED
15,0.883,2024-10-26 11:42:22.978340,2024-10-26 11:47:01.813513,0 days 00:04:38.835173,leaky_relu,,,128,256,,,1,RMSprop,PRUNED
16,0.89325,2024-10-26 12:00:45.106288,2024-10-26 12:08:46.055731,0 days 00:08:00.949443,gelu,,,32,128,,,1,RMSprop,COMPLETE
17,0.87875,2024-10-26 12:00:45.121908,2024-10-26 12:05:57.985393,0 days 00:05:12.863485,gelu,,,32,128,,,1,RMSprop,PRUNED
18,0.8816666666666667,2024-10-26 12:00:45.106288,2024-10-26 12:08:53.561458,0 days 00:08:08.455170,gelu,,,32,128,,,1,RMSprop,COMPLETE
19,0.88675,2024-10-26 12:00:45.200034,2024-10-26 12:08:56.467326,0 days 00:08:11.267292,gelu,,,32,128,,,1,RMSprop,COMPLETE
20,0.86175,2024-10-26 12:05:58.001018,2024-10-26 12:07:51.718605,0 days 00:01:53.717587,gelu,,,32,128,,,1,RMSprop,PRUNED
21,0.7248333333333333,2024-10-26 12:07:51.749867,2024-10-26 12:08:41.046539,0 days 00:00:49.296672,gelu,,,64,128,,,1,SGD,PRUNED
22,0.8445833333333334,2024-10-26 12:08:41.062160,2024-10-26 12:09:21.083212,0 days 00:00:40.021052,sigmoid,,,32,128,,,1,RMSprop,PRUNED
23,0.8239166666666666,2024-10-26 12:08:46.074534,2024-10-26 12:09:25.852140,0 days 00:00:39.777606,sigmoid,,,32,16,,,1,RMSprop,PRUNED
24,0.8888333333333334,2024-10-26 12:08:53.577087,2024-10-26 12:14:36.876220,0 days 00:05:43.299133,gelu,,,32,128,,,1,RMSprop,COMPLETE
25,0.83725,2024-10-26 12:08:56.486959,2024-10-26 12:09:35.375725,0 days 00:00:38.888766,sigmoid,,,32,128,,,1,RMSprop,PRUNED
26,,2024-10-26 12:09:25.867763,,,gelu,,,32,128,,,1,RMSprop,RUNNING
27,0.7274166666666667,2024-10-26 12:09:35.375725,2024-10-26 12:10:11.724416,0 days 00:00:36.348691,gelu,,,64,128,,,1,SGD,PRUNED
28,0.8625,2024-10-26 12:10:11.724416,2024-10-26 12:11:25.634666,0 days 00:01:13.910250,gelu,,,32,128,,,1,RMSprop,PRUNED
29,0.8669166666666667,2024-10-26 12:14:36.894491,2024-10-26 12:16:46.310104,0 days 00:02:09.415613,gelu,sigmoid,,32,256,512.0,,2,RMSprop,PRUNED
30,0.6810833333333334,2024-10-26 12:16:46.325729,2024-10-26 12:17:16.535235,0 days 00:00:30.209506,relu,sigmoid,,32,512,32.0,,2,SGD,PRUNED
31,0.8396666666666667,2024-10-26 18:17:13.997583,2024-10-26 18:17:58.928976,0 days 00:00:44.931393,tanh,,,32,16,,,1,RMSprop,PRUNED
32,0.843,2024-10-26 18:17:14.090580,2024-10-26 18:17:59.534924,0 days 00:00:45.444344,tanh,,,32,16,,,1,RMSprop,PRUNED
33,0.835,2024-10-26 18:17:14.208583,2024-10-26 18:18:02.230848,0 days 00:00:48.022265,relu,,,32,16,,,1,RMSprop,PRUNED
34,0.83825,2024-10-26 18:17:14.211583,2024-10-26 18:18:01.864851,0 days 00:00:47.653268,tanh,,,32,16,,,1,RMSprop,PRUNED
35,0.85375,2024-10-26 18:17:58.946975,2024-10-26 18:18:44.148251,0 days 00:00:45.201276,gelu,,,64,128,,,1,RMSprop,PRUNED
36,0.8873333333333333,2024-10-26 18:17:59.549927,2024-10-26 18:23:58.657457,0 days 00:05:59.107530,gelu,,,64,128,,,1,RMSprop,COMPLETE
37,0.8756666666666667,2024-10-26 18:18:01.881863,2024-10-26 18:21:18.507079,0 days 00:03:16.625216,gelu,,,64,128,,,1,RMSprop,PRUNED
38,0.8480833333333333,2024-10-26 18:18:02.244848,2024-10-26 18:18:47.188294,0 days 00:00:44.943446,gelu,,,64,128,,,1,RMSprop,PRUNED
39,0.7330833333333333,2024-10-26 18:18:44.163254,2024-10-26 18:19:26.896233,0 days 00:00:42.732979,gelu,,,64,128,,,1,SGD,PRUNED
40,0.7315833333333334,2024-10-26 18:18:47.201295,2024-10-26 18:19:30.924840,0 days 00:00:43.723545,gelu,,,64,64,,,1,SGD,PRUNED
41,0.85,2024-10-26 18:19:26.908233,2024-10-26 18:20:07.226213,0 days 00:00:40.317980,gelu,leaky_relu,,64,64,16.0,,2,RMSprop,PRUNED
42,0.8495,2024-10-26 18:19:30.938842,2024-10-26 18:20:11.258679,0 days 00:00:40.319837,silu,leaky_relu,,128,512,16.0,,2,RMSprop,PRUNED
43,0.8828333333333334,2024-10-26 18:21:18.520079,2024-10-26 18:26:54.852619,0 days 00:05:36.332540,gelu,,,32,128,,,1,RMSprop,COMPLETE
44,0.8654166666666666,2024-10-26 18:23:58.678227,2024-10-26 18:25:07.052637,0 days 00:01:08.374410,gelu,,,64,128,,,1,Adam,PRUNED
45,0.8661666666666666,2024-10-26 18:25:07.064637,2024-10-26 18:26:47.505580,0 days 00:01:40.440943,leaky_relu,,,64,128,,,1,RMSprop,PRUNED
46,0.8564166666666667,2024-10-26 18:26:54.871614,2024-10-26 18:27:55.986497,0 days 00:01:01.114883,silu,tanh,,64,128,512.0,,2,Adam,PRUNED
